PAIS DE ORIGEM,DESCRICAO DO PRODUTO,VALOR UN.PROD.DOLAR
"CHINA, REPUBLICA POP","007293# KIT TRANSMISSAO STANDARD TEMPERADO COMPLETO PARA MOTO HONDA CG 150 TITAN KS/ES/MIX/FAN (43T+16T-428H+118L), COMPOSTO POR CORRENTE, COROA E PINHAO. MODELO: STD TITAN 150",3.728
"CHINA, REPUBLICA POP","007295# KIT TRANSMISSAO STANDARD TEMPERADO COMPLETO PARA MOTO HONDA CG 125 TITAN 00/08 KS/ES/CARGO (44T+14T-428H+116L), COMPOSTO POR CORRENTE, COROA E PINHAO. MODELO: STD TITAN 2000",3.7
"CHINA, REPUBLICA POP","007296# KIT TRANSMISSAO STANDARD TEMPERADO COMPLETO PARA MOTO HONDA CG 125 FAN 09/13 (43T+14T-428H+116L), COMPOSTO POR CORRENTE, COROA E PINHAO. MODELO: STD FAN 09",3.686
"CHINA, REPUBLICA POP","80341 KIT DE TRANSMISSÃO, COMPOSTO DE CORRENTE, COROA E PINHÃO PARA MOTOCICLETA C100 BIZ, MARCA ALLEN.",3.3432578
"CHINA, REPUBLICA POP","80364 KIT DE TRANSMISSÃO, COMPOSTO DE CORRENTE, COROA E PINHÃO PARA MOTOCICLETA MIRAGE 150, MARCA ALLEN.",3.8263959
"CHINA, REPUBLICA POP","80348 KIT DE TRANSMISSÃO, COMPOSTO DE CORRENTE, COROA E PINHÃO PARA MOTOCICLETA CBX 250 TWISTER, MARCA ALLEN.",5.2328007
"CHINA, REPUBLICA POP","80350 KIT DE TRANSMISSÃO, COMPOSTO DE CORRENTE, COROA E PINHÃO PARA MOTOCICLETA CRF 230, MARCA ALLEN.",5.9696937000000005
"CHINA, REPUBLICA POP","80373 KIT DE TRANSMISSÃO, COMPOSTO DE CORRENTE, COROA E PINHÃO PARA MOTOCICLETA SHINERAY PHOENIX 50CC, MARCA ALLEN.",3.2457700000000003
"CHINA, REPUBLICA POP","80371 KIT DE TRANSMISSÃO, COMPOSTO DE CORRENTE, COROA E PINHÃO PARA MOTOCICLETA POP 110I, MARCA ALLEN.",3.2558055
"CHINA, REPUBLICA POP","80370 KIT DE TRANSMISSÃO, COMPOSTO DE CORRENTE, COROA E PINHÃO PARA MOTOCICLETA POP 100, MARCA ALLEN.",3.2457700000000003
