ITEM,PARTES E PEÇAS,MOTO PARTS,NCM,UNI,VMLE,RETENTOR
78,KIT TRANSMISSÃO 1045 C100 BIZ 15D+428HX108+35D C/PROT. COM RETENTOR,TRANS.SET 1045 C100 BIZ 15D+428HX108+35D W/PR. ,87141000,KIT,6.47,True
79,KIT TRANSMISSÃO 1045 C100 BIZ 15D+428HX108+35D C/PROT. SEM RETENTOR,TRANS.SET 1045 C100 BIZ 15D+428HX108+35D W/PR. ,87141000,KIT,3.9,False
80,KIT TRANSMISSÃO 1045 (CORRENTE.COROA. PINHAO) CBX 250 TWISTER COM RETENTOR,TRANS.SET 1045 (CHAIN + SPROCKET) CBX 250 TWISTER,87141000,KIT,9.3,True
81,KIT TRANSMISSÃO 1045 (CORRENTE.COROA. PINHAO) CBX 250 TWISTER SEM RETENTOR,TRANS.SET 1045 (CHAIN + SPROCKET) CBX 250 TWISTER,87141000,KIT,6.25,False
82,KIT TRANSMISSÃO 1045 FAZER 250 COM RETENTOR,TRANSMISSION SET + H CHAIN FAZER 251 ,87141000,KIT,8.2,True
83,KIT TRANSMISSÃO 1045 FAZER 250 SEM RETENTOR,TRANSMISSION SET + H CHAIN FAZER 251 ,87141000,KIT,4.5,False
84,KIT TRANSMISSÃO 1045 TITAN 2000/04 14D+428HX116+44D C/PR COM RETENTOR,TRANS.SET 1045 TITAN 2000/04 14D+428HX116+44 W/P,87141000,KIT,7.5,True
85,KIT TRANSMISSÃO 1045 TITAN 2000/04 14D+428HX116+44D C/PR SEM RETENTOR,TRANS.SET 1045 TITAN 2000/04 14D+428HX116+44 W/P,87141000,KIT,4.3,False
86,KIT TRANSMISSÃO 1045 YBR-125 2000/2002 14D+428HX118+43D COM RETENTOR,TRANS.SET 1045 YBR-125 2000/2002 14D+428HX118+43D ,87141000,KIT,7.7,True
87,KIT TRANSMISSÃO 1045 YBR-125 2000/2002 14D+428HX118+43D SEM RETENTOR,TRANS.SET 1045 YBR-125 2000/2002 14D+428HX118+43D ,87141000,KIT,4.2,False
88,KIT TRANSMISSÃO 1045 TITAN 150 16D+428HX118+43D C/PROT. COM RETENTOR,TRANS.SET 1045 TITAN 16D+428HX118+43D W/PROT. ,87141000,KIT,7.97,True
89,KIT TRANSMISSÃO 1045 TITAN 150 16D+428HX118+43D C/PROT. SEM RETENTOR,TRANS.SET 1045 TITAN 16D+428HX118+43D W/PROT. ,87141000,KIT,4.3,False
90,KIT TRANSMISSÃO XRE - 300  COM RETENTOR,TRANSMISSION SET + H CHAIN XRE 301 ,87141000,KIT,9.0,True
91,KIT TRANSMISSÃO XRE - 300  SEM RETENTOR,TRANSMISSION SET + H CHAIN XRE 301 ,87141000,KIT,6.0,False
92,KIT TRANSMISSÃO XTZ - 250 LANDER COM RETENTOR,TRANSMISSION SET + H CHAIN 250 LANDER ,87141000,KIT,8.2,True
93,KIT TRANSMISSÃO XTZ - 250 LANDER SEM RETENTOR,TRANSMISSION SET + H CHAIN 250 LANDER ,87141000,KIT,4.4,False
